
============= <ETM> =============
List available days: 27
[0, 1, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]
List jam level: 4
[4, 2, 1, 3]
List areas: 3
Area{ID=Area0, roomList=[Room{ID=Room0, area=Area0, numSlots=124, busyTimeList=[TimeUnit{12, 2}, TimeUnit{28, 2}, TimeUnit{23, 2}, TimeUnit{2, 1}, TimeUnit{9, 2}]}, Room{ID=Room3, area=Area0, numSlots=77, busyTimeList=[TimeUnit{16, 0}, TimeUnit{26, 2}, TimeUnit{26, 3}]}, Room{ID=Room6, area=Area0, numSlots=112, busyTimeList=[TimeUnit{7, 0}, TimeUnit{9, 0}, TimeUnit{10, 2}]}]}
Area{ID=Area2, roomList=[Room{ID=Room2, area=Area2, numSlots=86, busyTimeList=[TimeUnit{13, 3}, TimeUnit{14, 1}, TimeUnit{9, 1}, TimeUnit{27, 3}]}, Room{ID=Room5, area=Area2, numSlots=97, busyTimeList=[TimeUnit{6, 3}, TimeUnit{19, 2}, TimeUnit{14, 2}, TimeUnit{20, 1}, TimeUnit{25, 3}]}, Room{ID=Room8, area=Area2, numSlots=89, busyTimeList=[TimeUnit{6, 3}, TimeUnit{24, 2}, TimeUnit{10, 2}, TimeUnit{10, 3}]}]}
Area{ID=Area1, roomList=[Room{ID=Room1, area=Area1, numSlots=143, busyTimeList=[TimeUnit{2, 1}, TimeUnit{25, 0}, TimeUnit{10, 3}, TimeUnit{11, 3}]}, Room{ID=Room4, area=Area1, numSlots=132, busyTimeList=[TimeUnit{14, 1}, TimeUnit{19, 3}, TimeUnit{26, 0}, TimeUnit{9, 3}]}, Room{ID=Room7, area=Area1, numSlots=148, busyTimeList=[TimeUnit{12, 2}, TimeUnit{29, 1}, TimeUnit{5, 0}]}]}

List courses: 30
Course{ID=Course0, difficult=1}
Course{ID=Course17, difficult=2}
Course{ID=Course16, difficult=1}
Course{ID=Course2, difficult=1}
Course{ID=Course19, difficult=1}
Course{ID=Course1, difficult=2}
Course{ID=Course18, difficult=3}
Course{ID=Course4, difficult=2}
Course{ID=Course3, difficult=1}
Course{ID=Course6, difficult=2}
Course{ID=Course5, difficult=3}
Course{ID=Course8, difficult=3}
Course{ID=Course7, difficult=1}
Course{ID=Course9, difficult=3}
Course{ID=Course24, difficult=2}
Course{ID=Course23, difficult=2}
Course{ID=Course26, difficult=3}
Course{ID=Course25, difficult=1}
Course{ID=Course20, difficult=1}
Course{ID=Course22, difficult=3}
Course{ID=Course21, difficult=3}
Course{ID=Course28, difficult=3}
Course{ID=Course27, difficult=1}
Course{ID=Course29, difficult=2}
Course{ID=Course13, difficult=1}
Course{ID=Course12, difficult=3}
Course{ID=Course15, difficult=3}
Course{ID=Course14, difficult=1}
Course{ID=Course11, difficult=3}
Course{ID=Course10, difficult=1}

List exam class: 60
ExamClass{examClassID=ExamClass22, course=Course22, enrollmentList=[Student649, Student669, Student680, Student692, Student697, Student698, Student706, Student712, Student714, Student718, Student727, Student728, Student729, Student731, Student732, Student733, Student735, Student739, Student741, Student743, Student744, Student747, Student751, Student754, Student755, Student759, Student760, Student765, Student769, Student770, Student771, Student774, Student778, Student779, Student780, Student783, Student787, Student788, Student789, Student790, Student792, Student793, Student795, Student797, Student799, Student800, Student802, Student803, Student807, Student809, Student810, Student811, Student812, Student815, Student816, Student818, Student819, Student820, Student824, Student827, Student830, Student831, Student833, Student834, Student837, Student838, Student840, Student843, Student850, Student853, Student854, Student856, Student858, Student859, Student861]}
ExamClass{examClassID=ExamClass21, course=Course21, enrollmentList=[Student608, Student621, Student649, Student663, Student664, Student676, Student678, Student683, Student691, Student692, Student695, Student697, Student700, Student705, Student706, Student707, Student710, Student711, Student717, Student718, Student720, Student721, Student725, Student727, Student729, Student735, Student737, Student739, Student740, Student741, Student745, Student747, Student748, Student749, Student754, Student757, Student758, Student760, Student761, Student762, Student767, Student769, Student772, Student773, Student775, Student778, Student781, Student783, Student787, Student789, Student790, Student791, Student792, Student793, Student794, Student795, Student798, Student801, Student802, Student806, Student809, Student810, Student811, Student817, Student821, Student823, Student828, Student829, Student830, Student831, Student832, Student834, Student835, Student837, Student838]}
ExamClass{examClassID=ExamClass24, course=Course24, enrollmentList=[Student722, Student741, Student750, Student751, Student753, Student759, Student760, Student761, Student769, Student771, Student778, Student785, Student787, Student792, Student795, Student801, Student802, Student803, Student804, Student805, Student807, Student808, Student809, Student810, Student812, Student813, Student814, Student818, Student819, Student822, Student826, Student827, Student830, Student833, Student834, Student835, Student839, Student840, Student845, Student846, Student848, Student850, Student852, Student853, Student854, Student855, Student857, Student860, Student861, Student863, Student865, Student866, Student867, Student869, Student871, Student873, Student875, Student876, Student877, Student878, Student880, Student883, Student885, Student887, Student890, Student891, Student892, Student893, Student895, Student898, Student902, Student904, Student907, Student909, Student910]}
ExamClass{examClassID=ExamClass23, course=Course23, enrollmentList=[Student692, Student701, Student706, Student712, Student717, Student719, Student722, Student725, Student735, Student736, Student745, Student746, Student750, Student751, Student752, Student754, Student757, Student759, Student761, Student764, Student765, Student768, Student769, Student771, Student777, Student780, Student782, Student783, Student784, Student785, Student787, Student788, Student789, Student793, Student794, Student795, Student796, Student799, Student802, Student804, Student806, Student808, Student813, Student814, Student816, Student817, Student819, Student820, Student822, Student823, Student826, Student830, Student831, Student832, Student835, Student843, Student845, Student847, Student848, Student850, Student851, Student852, Student853, Student854, Student855, Student858, Student860, Student861, Student863, Student864, Student865, Student870, Student871, Student872, Student874]}
ExamClass{examClassID=ExamClass26, course=Course26, enrollmentList=[Student787, Student804, Student819, Student821, Student826, Student841, Student843, Student845, Student849, Student851, Student856, Student862, Student863, Student868, Student870, Student872, Student873, Student874, Student876, Student880, Student881, Student882, Student884, Student885, Student887, Student890, Student892, Student893, Student895, Student899, Student900, Student903, Student904, Student906, Student911, Student912, Student915, Student919, Student920, Student921, Student923, Student925, Student926, Student927, Student928, Student929, Student930, Student934, Student937, Student939, Student940, Student941, Student942, Student943, Student944, Student945, Student947, Student948, Student950, Student951, Student952, Student953, Student955, Student956, Student957, Student959, Student962, Student964, Student965, Student966, Student967, Student968, Student970, Student972, Student973]}
ExamClass{examClassID=ExamClass25, course=Course25, enrollmentList=[Student752, Student765, Student771, Student783, Student787, Student788, Student792, Student796, Student803, Student804, Student805, Student818, Student819, Student821, Student825, Student826, Student829, Student833, Student834, Student840, Student841, Student842, Student843, Student844, Student847, Student850, Student851, Student853, Student856, Student857, Student859, Student861, Student862, Student865, Student869, Student871, Student873, Student878, Student880, Student883, Student885, Student887, Student888, Student891, Student892, Student895, Student899, Student902, Student909, Student911, Student914, Student915, Student917, Student918, Student919, Student922, Student924, Student927, Student928, Student929, Student931, Student932, Student933, Student935, Student937, Student939, Student942, Student943, Student946, Student947, Student948, Student950, Student953, Student956, Student958]}
ExamClass{examClassID=ExamClass28, course=Course28, enrollmentList=[Student860, Student867, Student881, Student883, Student893, Student895, Student896, Student900, Student901, Student910, Student912, Student913, Student914, Student916, Student917, Student919, Student923, Student928, Student930, Student931, Student932, Student939, Student942, Student943, Student945, Student950, Student951, Student952, Student953, Student957, Student958, Student959, Student960, Student961, Student962, Student967, Student969, Student971, Student973, Student974, Student975, Student976, Student979, Student981, Student982, Student984, Student985, Student986, Student987, Student988, Student989, Student990, Student991, Student992, Student993, Student994, Student995, Student996, Student997, Student999]}
ExamClass{examClassID=ExamClass27, course=Course27, enrollmentList=[Student818, Student826, Student846, Student849, Student857, Student860, Student862, Student867, Student869, Student870, Student871, Student874, Student876, Student878, Student881, Student882, Student883, Student885, Student887, Student889, Student891, Student894, Student895, Student900, Student901, Student902, Student904, Student907, Student910, Student911, Student919, Student920, Student921, Student922, Student923, Student927, Student928, Student930, Student931, Student932, Student933, Student934, Student937, Student939, Student943, Student944, Student945, Student946, Student948, Student950, Student952, Student953, Student954, Student955, Student956, Student957, Student960, Student961, Student964, Student966, Student968, Student970, Student973, Student974, Student975, Student978, Student979, Student980, Student981, Student982, Student983, Student984, Student986, Student987, Student988]}
ExamClass{examClassID=ExamClass20, course=Course20, enrollmentList=[Student608, Student617, Student621, Student630, Student631, Student651, Student655, Student656, Student657, Student662, Student663, Student687, Student688, Student689, Student696, Student697, Student700, Student701, Student702, Student703, Student706, Student707, Student712, Student713, Student720, Student721, Student722, Student725, Student726, Student729, Student730, Student738, Student739, Student741, Student745, Student747, Student750, Student751, Student753, Student754, Student756, Student758, Student760, Student761, Student762, Student764, Student767, Student768, Student769, Student772, Student776, Student778, Student779, Student781, Student784, Student788, Student790, Student791, Student792, Student797, Student798, Student800, Student801, Student802, Student809, Student814, Student815, Student816, Student817, Student820, Student823, Student824, Student825, Student827, Student828]}
ExamClass{examClassID=ExamClass19, course=Course19, enrollmentList=[Student575, Student583, Student601, Student608, Student610, Student613, Student616, Student621, Student624, Student630, Student632, Student634, Student635, Student636, Student640, Student647, Student648, Student652, Student653, Student654, Student655, Student658, Student660, Student663, Student664, Student665, Student666, Student669, Student670, Student671, Student677, Student678, Student679, Student681, Student683, Student684, Student685, Student686, Student689, Student691, Student692, Student693, Student695, Student697, Student698, Student699, Student701, Student702, Student709, Student710, Student711, Student712, Student713, Student715, Student720, Student722, Student724, Student726, Student727, Student728, Student730, Student732, Student734, Student735, Student737, Student739, Student740, Student741, Student742, Student743, Student744, Student745, Student746, Student748, Student749]}
ExamClass{examClassID=ExamClass18, course=Course18, enrollmentList=[Student513, Student530, Student540, Student553, Student567, Student568, Student577, Student578, Student579, Student589, Student590, Student599, Student600, Student601, Student606, Student608, Student609, Student610, Student612, Student613, Student616, Student617, Student618, Student625, Student626, Student627, Student632, Student634, Student640, Student641, Student643, Student644, Student646, Student647, Student649, Student654, Student656, Student657, Student659, Student661, Student665, Student666, Student671, Student677, Student678, Student679, Student681, Student682, Student685, Student688, Student690, Student691, Student692, Student693, Student694, Student695, Student696, Student697, Student698, Student699, Student700, Student702, Student703, Student704, Student705, Student706, Student707, Student708, Student709, Student710, Student711, Student713, Student714, Student716, Student719]}
